"Type","Description","Date","Site","Annee","Saison","Remarque","Latitude_a","Latitude_b","Latitude_c","Latitude_d","Longitude_a","Longitude_b","Longitude_c","Longitude_d","Meso_5mm","Micro_1mm","Total","Meso_normalise","Micro_normalise","Total_normalise"
"Biomédias","Petits filtres circulaires aux motifs caractéristiques.",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"Bioperles","Billes d’environ 5mm, cylindriques et striées",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,NA,0,0,NA,0
"Fragment de fibre","Fil de pêche, vêtements, dégradation de filets",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"Films plastiques","Emballages, films alimentaires",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"Fragments jeunes","Fragments anguleux qui gardent leur couleur d’origine",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,1,0,1,20,0,20
"Fragments vieillis","Fragments aux coins arrondis et/ou blanchis par le sel et le soleil.",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"Mousses","Souples et alvéolées",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"Polystirène expansé","Très légers, non alvéolés, extrêmement volatiles",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,0,0,0,0,0,0
"GPI","Billes sphériques ou légèrement ovales, aux couleurs variées et de diamètre 1 à 2mm.",2022-04-27,"Barcaghju","2022","Printemps","Aucune",43.007738,43.006958,43.007075,43.007643,9.415923,9.415321,9.415139,9.415722,NA,0,0,NA,0,0
"Biomédias","Petits filtres circulaires aux motifs caractéristiques.",2022-05-16,"Ferringule","2022","Printemps","Aucune",42.735017,42.734141,42.735083,42.734197,9.344733,9.344303,9.344461,9.344085,0,0,0,0,0,0
"Bioperles","Billes d’environ 5mm, cylindriques et striées",2022-05-16,"Ferringule","2022","Printemps","Aucune",42.735017,42.734141,42.735083,42.734197,9.344733,9.344303,9.344461,9.344085,0,NA,0,0,NA,0
"Fragment de fibre","Fil de pêche, vêtements, dégradation de filets",2022-05-16,"Ferringule","2022","Printemps","Aucune",42.735017,42.734141,42.735083,42.734197,9.344733,9.344303,9.344461,9.344085,1,1,2,20,20,40
"Films plastiques","Emballages, films alimentaires",2022-05-16,"Ferringule","2022","Printemps","Aucune",42.735017,42.734141,42.735083,42.734197,9.344733,9.344303,9.344461,9.344085,0,10,10,0,200,200
"Fragments jeunes","Fragments anguleux qui gardent leur couleur d’origine",2022-05-16,"Ferringule","2022","Printemps","Aucune",42.735017,42.734141,42.735083,42.734197,9.344733,9.344303,9.344461,9.344085,9,23,32,180,460,640
